0.063941,0.0040884,5.8508e-06,5.8508e-06,3.4232e-11,3.7411e-07,0
0.063949,0.0040894,5.8388e-06,5.8388e-06,3.4092e-11,3.7339e-07,0
0.063956,0.0040904,5.8268e-06,5.8268e-06,3.3952e-11,3.7266e-07,0
0.063964,0.0040914,5.8148e-06,5.8148e-06,3.3812e-11,3.7194e-07,0
0.063972,0.0040924,5.8028e-06,5.8028e-06,3.3673e-11,3.7122e-07,0
0.063979,0.0040933,5.7908e-06,5.7908e-06,3.3533e-11,3.7049e-07,0
0.063987,0.0040943,5.7787e-06,5.7787e-06,3.3394e-11,3.6976e-07,0
0.063995,0.0040953,5.7666e-06,5.7666e-06,3.3254e-11,3.6903e-07,0
0.064002,0.0040963,5.7546e-06,5.7546e-06,3.3115e-11,3.683e-07,0
0.063939,0.0040882,5.8474e-06,5.8474e-06,3.4192e-11,3.7387e-07,0
0.063947,0.0040892,5.8354e-06,5.8354e-06,3.4052e-11,3.7315e-07,0
0.063954,0.0040902,5.8234e-06,5.8234e-06,3.3912e-11,3.7243e-07,0
0.063962,0.0040911,5.8114e-06,5.8114e-06,3.3773e-11,3.7171e-07,0
0.06397,0.0040921,5.7994e-06,5.7994e-06,3.3633e-11,3.7099e-07,0
0.063977,0.0040931,5.7874e-06,5.7874e-06,3.3494e-11,3.7026e-07,0
0.063985,0.0040941,5.7753e-06,5.7753e-06,3.3354e-11,3.6953e-07,0
0.063993,0.0040951,5.7633e-06,5.7633e-06,3.3215e-11,3.6881e-07,0
0.064,0.004096,5.7512e-06,5.7512e-06,3.3076e-11,3.6808e-07,0
0.064008,0.004097,5.7391e-06,5.7391e-06,3.2937e-11,3.6735e-07,0
0.063945,0.0040889,5.832e-06,5.832e-06,3.4012e-11,3.7292e-07,0
0.063952,0.0040899,5.82e-06,5.82e-06,3.3872e-11,3.722e-07,0
0.06396,0.0040909,5.808e-06,5.808e-06,3.3733e-11,3.7148e-07,0
0.063968,0.0040919,5.796e-06,5.796e-06,3.3594e-11,3.7076e-07,0
0.063976,0.0040929,5.784e-06,5.784e-06,3.3454e-11,3.7003e-07,0
0.063983,0.0040938,5.7719e-06,5.7719e-06,3.3315e-11,3.6931e-07,0
0.063991,0.0040948,5.7599e-06,5.7599e-06,3.3176e-11,3.6858e-07,0
0.063998,0.0040958,5.7478e-06,5.7478e-06,3.3037e-11,3.6785e-07,0
0.064006,0.0040968,5.7357e-06,5.7357e-06,3.2898e-11,3.6712e-07,0
0.064013,0.0040977,5.7236e-06,5.7236e-06,3.2759e-11,3.6639e-07,0
0.063951,0.0040897,5.8166e-06,5.8166e-06,3.3833e-11,3.7197e-07,0
